Country,Average,STRI,CountryHere,OECD,Country_here,Grid
FIN,0.2124570906162262,0.205352321267128,0.0,0.0,LUX,STRI2023
ZAF,0.2124570906162262,0.20557749271392822,0.0,0.0,LUX,STRI2023
SGP,0.2124570906162262,0.20910480618476868,0.0,0.0,LUX,STRI2023
CHE,0.2124570906162262,0.21090662479400635,0.0,0.0,LUX,STRI2023
AUT,0.2124570906162262,0.21365027129650116,0.0,0.0,LUX,STRI2023
BRA,0.2124570906162262,0.21879391372203827,0.0,0.0,LUX,STRI2023
POL,0.2124570906162262,0.22515761852264404,0.0,0.0,LUX,STRI2023
NOR,0.2124570906162262,0.22528980672359467,0.0,0.0,LUX,STRI2023
HUN,0.2124570906162262,0.22671419382095337,0.0,0.0,LUX,STRI2023
KOR,0.2124570906162262,0.22738802433013916,0.0,0.0,LUX,STRI2023
ITA,0.2124570906162262,0.2292419672012329,0.0,0.0,LUX,STRI2023
SVN,0.2124570906162262,0.2337678223848343,0.0,0.0,LUX,STRI2023
TUR,0.2124570906162262,0.23408690094947815,0.0,0.0,LUX,STRI2023
MEX,0.2124570906162262,0.23568522930145264,0.0,0.0,LUX,STRI2023
ISR,0.2124570906162262,0.23780640959739685,0.0,0.0,LUX,STRI2023
BEL,0.2124570906162262,0.23935168981552124,0.0,0.0,LUX,STRI2023
CHN,0.2124570906162262,0.24053983390331268,0.0,0.0,LUX,STRI2023
GRC,0.2124570906162262,0.2497117817401886,0.0,0.0,LUX,STRI2023
IND,0.2124570906162262,0.292959600687027,0.0,0.0,LUX,STRI2023
MYS,0.2124570906162262,0.29378393292427063,0.0,0.0,LUX,STRI2023
KAZ,0.2124570906162262,0.3091775178909302,0.0,0.0,LUX,STRI2023
VNM,0.2124570906162262,0.338091641664505,0.0,0.0,LUX,STRI2023
ISL,0.2124570906162262,0.3403390645980835,0.0,0.0,LUX,STRI2023
THA,0.2124570906162262,0.3667829930782318,0.0,0.0,LUX,STRI2023
IDN,0.2124570906162262,0.3772282898426056,0.0,0.0,LUX,STRI2023
RUS,0.2124570906162262,0.3775465190410614,0.0,0.0,LUX,STRI2023
JPN,0.2124570906162262,0.11587820947170258,0.0,0.0,LVA,STRI2023
ESP,0.2124570906162262,0.12382694333791733,0.0,0.0,LVA,STRI2023
GBR,0.2124570906162262,0.13111266493797302,0.0,0.0,LVA,STRI2023
CZE,0.2124570906162262,0.13458561897277832,0.0,0.0,LVA,STRI2023
NLD,0.2124570906162262,0.13763640820980072,0.0,0.0,LVA,STRI2023
LVA,0.2124570906162262,0.0,0.14169877767562866,0.0,LVA,STRI2023
DNK,0.2124570906162262,0.15197816491127014,0.0,0.0,LVA,STRI2023
DEU,0.2124570906162262,0.15355335175991058,0.0,0.0,LVA,STRI2023
CHL,0.2124570906162262,0.15368378162384033,0.0,0.0,LVA,STRI2023
AUS,0.2124570906162262,0.1539640724658966,0.0,0.0,LVA,STRI2023
LTU,0.2124570906162262,0.15826094150543213,0.0,0.0,LVA,STRI2023
IRL,0.2124570906162262,0.16215647757053375,0.0,0.0,LVA,STRI2023
CRI,0.2124570906162262,0.16410213708877563,0.0,0.0,LVA,STRI2023
PRT,0.2124570906162262,0.16425476968288422,0.0,0.0,LVA,STRI2023
LUX,0.2124570906162262,0.16761423647403717,0.0,0.0,LVA,STRI2023
USA,0.2124570906162262,0.1698981672525406,0.0,0.0,LVA,STRI2023
SVK,0.2124570906162262,0.17100149393081665,0.0,0.0,LVA,STRI2023
EST,0.2124570906162262,0.17403888702392578,0.0,0.0,LVA,STRI2023
NZL,0.2124570906162262,0.180629163980484,0.0,0.0,LVA,STRI2023
PER,0.2124570906162262,0.18087008595466614,0.0,0.0,LVA,STRI2023
OECD,0.2124570906162262,0.0,0.0,0.19038090109825134,LVA,STRI2023
COL,0.2124570906162262,0.19201289117336273,0.0,0.0,LVA,STRI2023
SWE,0.2124570906162262,0.19657562673091888,0.0,0.0,LVA,STRI2023
FRA,0.2124570906162262,0.19725997745990753,0.0,0.0,LVA,STRI2023
CAN,0.2124570906162262,0.20430152118206024,0.0,0.0,LVA,STRI2023
FIN,0.2124570906162262,0.205352321267128,0.0,0.0,LVA,STRI2023
ZAF,0.2124570906162262,0.20557749271392822,0.0,0.0,LVA,STRI2023
SGP,0.2124570906162262,0.20910480618476868,0.0,0.0,LVA,STRI2023
CHE,0.2124570906162262,0.21090662479400635,0.0,0.0,LVA,STRI2023
AUT,0.2124570906162262,0.21365027129650116,0.0,0.0,LVA,STRI2023
BRA,0.2124570906162262,0.21879391372203827,0.0,0.0,LVA,STRI2023
POL,0.2124570906162262,0.22515761852264404,0.0,0.0,LVA,STRI2023
NOR,0.2124570906162262,0.22528980672359467,0.0,0.0,LVA,STRI2023
HUN,0.2124570906162262,0.22671419382095337,0.0,0.0,LVA,STRI2023
KOR,0.2124570906162262,0.22738802433013916,0.0,0.0,LVA,STRI2023
ITA,0.2124570906162262,0.2292419672012329,0.0,0.0,LVA,STRI2023
SVN,0.2124570906162262,0.2337678223848343,0.0,0.0,LVA,STRI2023
TUR,0.2124570906162262,0.23408690094947815,0.0,0.0,LVA,STRI2023
MEX,0.2124570906162262,0.23568522930145264,0.0,0.0,LVA,STRI2023
ISR,0.2124570906162262,0.23780640959739685,0.0,0.0,LVA,STRI2023
BEL,0.2124570906162262,0.23935168981552124,0.0,0.0,LVA,STRI2023
CHN,0.2124570906162262,0.24053983390331268,0.0,0.0,LVA,STRI2023
GRC,0.2124570906162262,0.2497117817401886,0.0,0.0,LVA,STRI2023
IND,0.2124570906162262,0.292959600687027,0.0,0.0,LVA,STRI2023
MYS,0.2124570906162262,0.29378393292427063,0.0,0.0,LVA,STRI2023
KAZ,0.2124570906162262,0.3091775178909302,0.0,0.0,LVA,STRI2023
VNM,0.2124570906162262,0.338091641664505,0.0,0.0,LVA,STRI2023
ISL,0.2124570906162262,0.3403390645980835,0.0,0.0,LVA,STRI2023
THA,0.2124570906162262,0.3667829930782318,0.0,0.0,LVA,STRI2023
IDN,0.2124570906162262,0.3772282898426056,0.0,0.0,LVA,STRI2023
RUS,0.2124570906162262,0.3775465190410614,0.0,0.0,LVA,STRI2023
JPN,0.2124570906162262,0.11587820947170258,0.0,0.0,MEX,STRI2023
ESP,0.2124570906162262,0.12382694333791733,0.0,0.0,MEX,STRI2023
GBR,0.2124570906162262,0.13111266493797302,0.0,0.0,MEX,STRI2023
CZE,0.2124570906162262,0.13458561897277832,0.0,0.0,MEX,STRI2023
NLD,0.2124570906162262,0.13763640820980072,0.0,0.0,MEX,STRI2023
LVA,0.2124570906162262,0.14169877767562866,0.0,0.0,MEX,STRI2023
DNK,0.2124570906162262,0.15197816491127014,0.0,0.0,MEX,STRI2023
DEU,0.2124570906162262,0.15355335175991058,0.0,0.0,MEX,STRI2023
CHL,0.2124570906162262,0.15368378162384033,0.0,0.0,MEX,STRI2023
AUS,0.2124570906162262,0.1539640724658966,0.0,0.0,MEX,STRI2023
LTU,0.2124570906162262,0.15826094150543213,0.0,0.0,MEX,STRI2023
IRL,0.2124570906162262,0.16215647757053375,0.0,0.0,MEX,STRI2023
CRI,0.2124570906162262,0.16410213708877563,0.0,0.0,MEX,STRI2023
PRT,0.2124570906162262,0.16425476968288422,0.0,0.0,MEX,STRI2023
LUX,0.2124570906162262,0.16761423647403717,0.0,0.0,MEX,STRI2023
USA,0.2124570906162262,0.1698981672525406,0.0,0.0,MEX,STRI2023
SVK,0.2124570906162262,0.17100149393081665,0.0,0.0,MEX,STRI2023
EST,0.2124570906162262,0.17403888702392578,0.0,0.0,MEX,STRI2023
NZL,0.2124570906162262,0.180629163980484,0.0,0.0,MEX,STRI2023
PER,0.2124570906162262,0.18087008595466614,0.0,0.0,MEX,STRI2023
OECD,0.2124570906162262,0.0,0.0,0.19038090109825134,MEX,STRI2023
COL,0.2124570906162262,0.19201289117336273,0.0,0.0,MEX,STRI2023
SWE,0.2124570906162262,0.19657562673091888,0.0,0.0,MEX,STRI2023
FRA,0.2124570906162262,0.19725997745990753,0.0,0.0,MEX,STRI2023
CAN,0.2124570906162262,0.20430152118206024,0.0,0.0,MEX,STRI2023
FIN,0.2124570906162262,0.205352321267128,0.0,0.0,MEX,STRI2023
ZAF,0.2124570906162262,0.20557749271392822,0.0,0.0,MEX,STRI2023
SGP,0.2124570906162262,0.20910480618476868,0.0,0.0,MEX,STRI2023
CHE,0.2124570906162262,0.21090662479400635,0.0,0.0,MEX,STRI2023
AUT,0.2124570906162262,0.21365027129650116,0.0,0.0,MEX,STRI2023
BRA,0.2124570906162262,0.21879391372203827,0.0,0.0,MEX,STRI2023
POL,0.2124570906162262,0.22515761852264404,0.0,0.0,MEX,STRI2023
NOR,0.2124570906162262,0.22528980672359467,0.0,0.0,MEX,STRI2023
HUN,0.2124570906162262,0.22671419382095337,0.0,0.0,MEX,STRI2023
KOR,0.2124570906162262,0.22738802433013916,0.0,0.0,MEX,STRI2023
ITA,0.2124570906162262,0.2292419672012329,0.0,0.0,MEX,STRI2023
SVN,0.2124570906162262,0.2337678223848343,0.0,0.0,MEX,STRI2023
TUR,0.2124570906162262,0.23408690094947815,0.0,0.0,MEX,STRI2023
MEX,0.2124570906162262,0.0,0.23568522930145264,0.0,MEX,STRI2023
ISR,0.2124570906162262,0.23780640959739685,0.0,0.0,MEX,STRI2023
BEL,0.2124570906162262,0.23935168981552124,0.0,0.0,MEX,STRI2023
CHN,0.2124570906162262,0.24053983390331268,0.0,0.0,MEX,STRI2023
GRC,0.2124570906162262,0.2497117817401886,0.0,0.0,MEX,STRI2023
IND,0.2124570906162262,0.292959600687027,0.0,0.0,MEX,STRI2023
MYS,0.2124570906162262,0.29378393292427063,0.0,0.0,MEX,STRI2023
KAZ,0.2124570906162262,0.3091775178909302,0.0,0.0,MEX,STRI2023
VNM,0.2124570906162262,0.338091641664505,0.0,0.0,MEX,STRI2023
ISL,0.2124570906162262,0.3403390645980835,0.0,0.0,MEX,STRI2023
THA,0.2124570906162262,0.3667829930782318,0.0,0.0,MEX,STRI2023
IDN,0.2124570906162262,0.3772282898426056,0.0,0.0,MEX,STRI2023
RUS,0.2124570906162262,0.3775465190410614,0.0,0.0,MEX,STRI2023
JPN,0.2124570906162262,0.11587820947170258,0.0,0.0,MYS,STRI2023
ESP,0.2124570906162262,0.12382694333791733,0.0,0.0,MYS,STRI2023
GBR,0.2124570906162262,0.13111266493797302,0.0,0.0,MYS,STRI2023
CZE,0.2124570906162262,0.13458561897277832,0.0,0.0,MYS,STRI2023
NLD,0.2124570906162262,0.13763640820980072,0.0,0.0,MYS,STRI2023
LVA,0.2124570906162262,0.14169877767562866,0.0,0.0,MYS,STRI2023
DNK,0.2124570906162262,0.15197816491127014,0.0,0.0,MYS,STRI2023
DEU,0.2124570906162262,0.15355335175991058,0.0,0.0,MYS,STRI2023
CHL,0.2124570906162262,0.15368378162384033,0.0,0.0,MYS,STRI2023
AUS,0.2124570906162262,0.1539640724658966,0.0,0.0,MYS,STRI2023
LTU,0.2124570906162262,0.15826094150543213,0.0,0.0,MYS,STRI2023
IRL,0.2124570906162262,0.16215647757053375,0.0,0.0,MYS,STRI2023
CRI,0.2124570906162262,0.16410213708877563,0.0,0.0,MYS,STRI2023
PRT,0.2124570906162262,0.16425476968288422,0.0,0.0,MYS,STRI2023
LUX,0.2124570906162262,0.16761423647403717,0.0,0.0,MYS,STRI2023
USA,0.2124570906162262,0.1698981672525406,0.0,0.0,MYS,STRI2023
SVK,0.2124570906162262,0.17100149393081665,0.0,0.0,MYS,STRI2023
EST,0.2124570906162262,0.17403888702392578,0.0,0.0,MYS,STRI2023
NZL,0.2124570906162262,0.180629163980484,0.0,0.0,MYS,STRI2023
PER,0.2124570906162262,0.18087008595466614,0.0,0.0,MYS,STRI2023
OECD,0.2124570906162262,0.0,0.0,0.19038090109825134,MYS,STRI2023
COL,0.2124570906162262,0.19201289117336273,0.0,0.0,MYS,STRI2023
SWE,0.2124570906162262,0.19657562673091888,0.0,0.0,MYS,STRI2023
FRA,0.2124570906162262,0.19725997745990753,0.0,0.0,MYS,STRI2023
CAN,0.2124570906162262,0.20430152118206024,0.0,0.0,MYS,STRI2023
FIN,0.2124570906162262,0.205352321267128,0.0,0.0,MYS,STRI2023
ZAF,0.2124570906162262,0.20557749271392822,0.0,0.0,MYS,STRI2023
SGP,0.2124570906162262,0.20910480618476868,0.0,0.0,MYS,STRI2023
CHE,0.2124570906162262,0.21090662479400635,0.0,0.0,MYS,STRI2023
AUT,0.2124570906162262,0.21365027129650116,0.0,0.0,MYS,STRI2023
BRA,0.2124570906162262,0.21879391372203827,0.0,0.0,MYS,STRI2023
POL,0.2124570906162262,0.22515761852264404,0.0,0.0,MYS,STRI2023
NOR,0.2124570906162262,0.22528980672359467,0.0,0.0,MYS,STRI2023
HUN,0.2124570906162262,0.22671419382095337,0.0,0.0,MYS,STRI2023
KOR,0.2124570906162262,0.22738802433013916,0.0,0.0,MYS,STRI2023
ITA,0.2124570906162262,0.2292419672012329,0.0,0.0,MYS,STRI2023
SVN,0.2124570906162262,0.2337678223848343,0.0,0.0,MYS,STRI2023
TUR,0.2124570906162262,0.23408690094947815,0.0,0.0,MYS,STRI2023
MEX,0.2124570906162262,0.23568522930145264,0.0,0.0,MYS,STRI2023
ISR,0.2124570906162262,0.23780640959739685,0.0,0.0,MYS,STRI2023
BEL,0.2124570906162262,0.23935168981552124,0.0,0.0,MYS,STRI2023
CHN,0.2124570906162262,0.24053983390331268,0.0,0.0,MYS,STRI2023
GRC,0.2124570906162262,0.2497117817401886,0.0,0.0,MYS,STRI2023
IND,0.2124570906162262,0.292959600687027,0.0,0.0,MYS,STRI2023
MYS,0.2124570906162262,0.0,0.29378393292427063,0.0,MYS,STRI2023
KAZ,0.2124570906162262,0.3091775178909302,0.0,0.0,MYS,STRI2023
VNM,0.2124570906162262,0.338091641664505,0.0,0.0,MYS,STRI2023
ISL,0.2124570906162262,0.3403390645980835,0.0,0.0,MYS,STRI2023
THA,0.2124570906162262,0.3667829930782318,0.0,0.0,MYS,STRI2023
IDN,0.2124570906162262,0.3772282898426056,0.0,0.0,MYS,STRI2023
RUS,0.2124570906162262,0.3775465190410614,0.0,0.0,MYS,STRI2023
JPN,0.2124570906162262,0.11587820947170258,0.0,0.0,NLD,STRI2023
ESP,0.2124570906162262,0.12382694333791733,0.0,0.0,NLD,STRI2023
GBR,0.2124570906162262,0.13111266493797302,0.0,0.0,NLD,STRI2023
CZE,0.2124570906162262,0.13458561897277832,0.0,0.0,NLD,STRI2023
NLD,0.2124570906162262,0.0,0.13763640820980072,0.0,NLD,STRI2023
LVA,0.2124570906162262,0.14169877767562866,0.0,0.0,NLD,STRI2023
DNK,0.2124570906162262,0.15197816491127014,0.0,0.0,NLD,STRI2023
DEU,0.2124570906162262,0.15355335175991058,0.0,0.0,NLD,STRI2023
CHL,0.2124570906162262,0.15368378162384033,0.0,0.0,NLD,STRI2023
AUS,0.2124570906162262,0.1539640724658966,0.0,0.0,NLD,STRI2023
LTU,0.2124570906162262,0.15826094150543213,0.0,0.0,NLD,STRI2023
IRL,0.2124570906162262,0.16215647757053375,0.0,0.0,NLD,STRI2023
CRI,0.2124570906162262,0.16410213708877563,0.0,0.0,NLD,STRI2023
PRT,0.2124570906162262,0.16425476968288422,0.0,0.0,NLD,STRI2023
LUX,0.2124570906162262,0.16761423647403717,0.0,0.0,NLD,STRI2023
USA,0.2124570906162262,0.1698981672525406,0.0,0.0,NLD,STRI2023
SVK,0.2124570906162262,0.17100149393081665,0.0,0.0,NLD,STRI2023
EST,0.2124570906162262,0.17403888702392578,0.0,0.0,NLD,STRI2023
NZL,0.2124570906162262,0.180629163980484,0.0,0.0,NLD,STRI2023
PER,0.2124570906162262,0.18087008595466614,0.0,0.0,NLD,STRI2023
OECD,0.2124570906162262,0.0,0.0,0.19038090109825134,NLD,STRI2023
COL,0.2124570906162262,0.19201289117336273,0.0,0.0,NLD,STRI2023
SWE,0.2124570906162262,0.19657562673091888,0.0,0.0,NLD,STRI2023
FRA,0.2124570906162262,0.19725997745990753,0.0,0.0,NLD,STRI2023
CAN,0.2124570906162262,0.20430152118206024,0.0,0.0,NLD,STRI2023
FIN,0.2124570906162262,0.205352321267128,0.0,0.0,NLD,STRI2023
ZAF,0.2124570906162262,0.20557749271392822,0.0,0.0,NLD,STRI2023
SGP,0.2124570906162262,0.20910480618476868,0.0,0.0,NLD,STRI2023
CHE,0.2124570906162262,0.21090662479400635,0.0,0.0,NLD,STRI2023
AUT,0.2124570906162262,0.21365027129650116,0.0,0.0,NLD,STRI2023
BRA,0.2124570906162262,0.21879391372203827,0.0,0.0,NLD,STRI2023
POL,0.2124570906162262,0.22515761852264404,0.0,0.0,NLD,STRI2023
NOR,0.2124570906162262,0.22528980672359467,0.0,0.0,NLD,STRI2023
HUN,0.2124570906162262,0.22671419382095337,0.0,0.0,NLD,STRI2023
KOR,0.2124570906162262,0.22738802433013916,0.0,0.0,NLD,STRI2023
ITA,0.2124570906162262,0.2292419672012329,0.0,0.0,NLD,STRI2023
SVN,0.2124570906162262,0.2337678223848343,0.0,0.0,NLD,STRI2023
TUR,0.2124570906162262,0.23408690094947815,0.0,0.0,NLD,STRI2023
MEX,0.2124570906162262,0.23568522930145264,0.0,0.0,NLD,STRI2023
ISR,0.2124570906162262,0.23780640959739685,0.0,0.0,NLD,STRI2023
BEL,0.2124570906162262,0.23935168981552124,0.0,0.0,NLD,STRI2023
CHN,0.2124570906162262,0.24053983390331268,0.0,0.0,NLD,STRI2023
GRC,0.2124570906162262,0.2497117817401886,0.0,0.0,NLD,STRI2023
IND,0.2124570906162262,0.292959600687027,0.0,0.0,NLD,STRI2023
MYS,0.2124570906162262,0.29378393292427063,0.0,0.0,NLD,STRI2023
KAZ,0.2124570906162262,0.3091775178909302,0.0,0.0,NLD,STRI2023
VNM,0.2124570906162262,0.338091641664505,0.0,0.0,NLD,STRI2023
ISL,0.2124570906162262,0.3403390645980835,0.0,0.0,NLD,STRI2023
THA,0.2124570906162262,0.3667829930782318,0.0,0.0,NLD,STRI2023
IDN,0.2124570906162262,0.3772282898426056,0.0,0.0,NLD,STRI2023
RUS,0.2124570906162262,0.3775465190410614,0.0,0.0,NLD,STRI2023
JPN,0.2124570906162262,0.11587820947170258,0.0,0.0,NOR,STRI2023
ESP,0.2124570906162262,0.12382694333791733,0.0,0.0,NOR,STRI2023
GBR,0.2124570906162262,0.13111266493797302,0.0,0.0,NOR,STRI2023
CZE,0.2124570906162262,0.13458561897277832,0.0,0.0,NOR,STRI2023
NLD,0.2124570906162262,0.13763640820980072,0.0,0.0,NOR,STRI2023
LVA,0.2124570906162262,0.14169877767562866,0.0,0.0,NOR,STRI2023
DNK,0.2124570906162262,0.15197816491127014,0.0,0.0,NOR,STRI2023
DEU,0.2124570906162262,0.15355335175991058,0.0,0.0,NOR,STRI2023
CHL,0.2124570906162262,0.15368378162384033,0.0,0.0,NOR,STRI2023
AUS,0.2124570906162262,0.1539640724658966,0.0,0.0,NOR,STRI2023
LTU,0.2124570906162262,0.15826094150543213,0.0,0.0,NOR,STRI2023
IRL,0.2124570906162262,0.16215647757053375,0.0,0.0,NOR,STRI2023
CRI,0.2124570906162262,0.16410213708877563,0.0,0.0,NOR,STRI2023
PRT,0.2124570906162262,0.16425476968288422,0.0,0.0,NOR,STRI2023
LUX,0.2124570906162262,0.16761423647403717,0.0,0.0,NOR,STRI2023
USA,0.2124570906162262,0.1698981672525406,0.0,0.0,NOR,STRI2023
SVK,0.2124570906162262,0.17100149393081665,0.0,0.0,NOR,STRI2023
EST,0.2124570906162262,0.17403888702392578,0.0,0.0,NOR,STRI2023
NZL,0.2124570906162262,0.180629163980484,0.0,0.0,NOR,STRI2023
PER,0.2124570906162262,0.18087008595466614,0.0,0.0,NOR,STRI2023
OECD,0.2124570906162262,0.0,0.0,0.19038090109825134,NOR,STRI2023
COL,0.2124570906162262,0.19201289117336273,0.0,0.0,NOR,STRI2023
SWE,0.2124570906162262,0.19657562673091888,0.0,0.0,NOR,STRI2023
FRA,0.2124570906162262,0.19725997745990753,0.0,0.0,NOR,STRI2023
CAN,0.2124570906162262,0.20430152118206024,0.0,0.0,NOR,STRI2023
FIN,0.2124570906162262,0.205352321267128,0.0,0.0,NOR,STRI2023
ZAF,0.2124570906162262,0.20557749271392822,0.0,0.0,NOR,STRI2023
SGP,0.2124570906162262,0.20910480618476868,0.0,0.0,NOR,STRI2023
CHE,0.2124570906162262,0.21090662479400635,0.0,0.0,NOR,STRI2023
AUT,0.2124570906162262,0.21365027129650116,0.0,0.0,NOR,STRI2023
BRA,0.2124570906162262,0.21879391372203827,0.0,0.0,NOR,STRI2023
POL,0.2124570906162262,0.22515761852264404,0.0,0.0,NOR,STRI2023
NOR,0.2124570906162262,0.0,0.22528980672359467,0.0,NOR,STRI2023
HUN,0.2124570906162262,0.22671419382095337,0.0,0.0,NOR,STRI2023
KOR,0.2124570906162262,0.22738802433013916,0.0,0.0,NOR,STRI2023
ITA,0.2124570906162262,0.2292419672012329,0.0,0.0,NOR,STRI2023
SVN,0.2124570906162262,0.2337678223848343,0.0,0.0,NOR,STRI2023
TUR,0.2124570906162262,0.23408690094947815,0.0,0.0,NOR,STRI2023
MEX,0.2124570906162262,0.23568522930145264,0.0,0.0,NOR,STRI2023
ISR,0.2124570906162262,0.23780640959739685,0.0,0.0,NOR,STRI2023
BEL,0.2124570906162262,0.23935168981552124,0.0,0.0,NOR,STRI2023
CHN,0.2124570906162262,0.24053983390331268,0.0,0.0,NOR,STRI2023
GRC,0.2124570906162262,0.2497117817401886,0.0,0.0,NOR,STRI2023
IND,0.2124570906162262,0.292959600687027,0.0,0.0,NOR,STRI2023
MYS,0.2124570906162262,0.29378393292427063,0.0,0.0,NOR,STRI2023
KAZ,0.2124570906162262,0.3091775178909302,0.0,0.0,NOR,STRI2023
VNM,0.2124570906162262,0.338091641664505,0.0,0.0,NOR,STRI2023
ISL,0.2124570906162262,0.3403390645980835,0.0,0.0,NOR,STRI2023
THA,0.2124570906162262,0.3667829930782318,0.0,0.0,NOR,STRI2023
IDN,0.2124570906162262,0.3772282898426056,0.0,0.0,NOR,STRI2023
RUS,0.2124570906162262,0.3775465190410614,0.0,0.0,NOR,STRI2023
JPN,0.2124570906162262,0.11587820947170258,0.0,0.0,NZL,STRI2023
ESP,0.2124570906162262,0.12382694333791733,0.0,0.0,NZL,STRI2023
GBR,0.2124570906162262,0.13111266493797302,0.0,0.0,NZL,STRI2023
CZE,0.2124570906162262,0.13458561897277832,0.0,0.0,NZL,STRI2023
NLD,0.2124570906162262,0.13763640820980072,0.0,0.0,NZL,STRI2023
LVA,0.2124570906162262,0.14169877767562866,0.0,0.0,NZL,STRI2023
DNK,0.2124570906162262,0.15197816491127014,0.0,0.0,NZL,STRI2023
DEU,0.2124570906162262,0.15355335175991058,0.0,0.0,NZL,STRI2023
CHL,0.2124570906162262,0.15368378162384033,0.0,0.0,NZL,STRI2023
AUS,0.2124570906162262,0.1539640724658966,0.0,0.0,NZL,STRI2023
LTU,0.2124570906162262,0.15826094150543213,0.0,0.0,NZL,STRI2023
IRL,0.2124570906162262,0.16215647757053375,0.0,0.0,NZL,STRI2023
CRI,0.2124570906162262,0.16410213708877563,0.0,0.0,NZL,STRI2023
PRT,0.2124570906162262,0.16425476968288422,0.0,0.0,NZL,STRI2023
LUX,0.2124570906162262,0.16761423647403717,0.0,0.0,NZL,STRI2023
USA,0.2124570906162262,0.1698981672525406,0.0,0.0,NZL,STRI2023
SVK,0.2124570906162262,0.17100149393081665,0.0,0.0,NZL,STRI2023
EST,0.2124570906162262,0.17403888702392578,0.0,0.0,NZL,STRI2023
NZL,0.2124570906162262,0.0,0.180629163980484,0.0,NZL,STRI2023
PER,0.2124570906162262,0.18087008595466614,0.0,0.0,NZL,STRI2023
OECD,0.2124570906162262,0.0,0.0,0.19038090109825134,NZL,STRI2023
COL,0.2124570906162262,0.19201289117336273,0.0,0.0,NZL,STRI2023
SWE,0.2124570906162262,0.19657562673091888,0.0,0.0,NZL,STRI2023
FRA,0.2124570906162262,0.19725997745990753,0.0,0.0,NZL,STRI2023
CAN,0.2124570906162262,0.20430152118206024,0.0,0.0,NZL,STRI2023
FIN,0.2124570906162262,0.205352321267128,0.0,0.0,NZL,STRI2023
ZAF,0.2124570906162262,0.20557749271392822,0.0,0.0,NZL,STRI2023
SGP,0.2124570906162262,0.20910480618476868,0.0,0.0,NZL,STRI2023
CHE,0.2124570906162262,0.21090662479400635,0.0,0.0,NZL,STRI2023
AUT,0.2124570906162262,0.21365027129650116,0.0,0.0,NZL,STRI2023
BRA,0.2124570906162262,0.21879391372203827,0.0,0.0,NZL,STRI2023
POL,0.2124570906162262,0.22515761852264404,0.0,0.0,NZL,STRI2023
NOR,0.2124570906162262,0.22528980672359467,0.0,0.0,NZL,STRI2023
HUN,0.2124570906162262,0.22671419382095337,0.0,0.0,NZL,STRI2023
KOR,0.2124570906162262,0.22738802433013916,0.0,0.0,NZL,STRI2023
ITA,0.2124570906162262,0.2292419672012329,0.0,0.0,NZL,STRI2023
SVN,0.2124570906162262,0.2337678223848343,0.0,0.0,NZL,STRI2023
TUR,0.2124570906162262,0.23408690094947815,0.0,0.0,NZL,STRI2023
MEX,0.2124570906162262,0.23568522930145264,0.0,0.0,NZL,STRI2023
ISR,0.2124570906162262,0.23780640959739685,0.0,0.0,NZL,STRI2023
BEL,0.2124570906162262,0.23935168981552124,0.0,0.0,NZL,STRI2023
CHN,0.2124570906162262,0.24053983390331268,0.0,0.0,NZL,STRI2023
GRC,0.2124570906162262,0.2497117817401886,0.0,0.0,NZL,STRI2023
IND,0.2124570906162262,0.292959600687027,0.0,0.0,NZL,STRI2023
MYS,0.2124570906162262,0.29378393292427063,0.0,0.0,NZL,STRI2023
KAZ,0.2124570906162262,0.3091775178909302,0.0,0.0,NZL,STRI2023
VNM,0.2124570906162262,0.338091641664505,0.0,0.0,NZL,STRI2023
ISL,0.2124570906162262,0.3403390645980835,0.0,0.0,NZL,STRI2023
THA,0.2124570906162262,0.3667829930782318,0.0,0.0,NZL,STRI2023
IDN,0.2124570906162262,0.3772282898426056,0.0,0.0,NZL,STRI2023
RUS,0.2124570906162262,0.3775465190410614,0.0,0.0,NZL,STRI2023
JPN,0.2124570906162262,0.11587820947170258,0.0,0.0,PER,STRI2023
ESP,0.2124570906162262,0.12382694333791733,0.0,0.0,PER,STRI2023
GBR,0.2124570906162262,0.13111266493797302,0.0,0.0,PER,STRI2023
CZE,0.2124570906162262,0.13458561897277832,0.0,0.0,PER,STRI2023
NLD,0.2124570906162262,0.13763640820980072,0.0,0.0,PER,STRI2023
LVA,0.2124570906162262,0.14169877767562866,0.0,0.0,PER,STRI2023
DNK,0.2124570906162262,0.15197816491127014,0.0,0.0,PER,STRI2023
DEU,0.2124570906162262,0.15355335175991058,0.0,0.0,PER,STRI2023
CHL,0.2124570906162262,0.15368378162384033,0.0,0.0,PER,STRI2023
AUS,0.2124570906162262,0.1539640724658966,0.0,0.0,PER,STRI2023
LTU,0.2124570906162262,0.15826094150543213,0.0,0.0,PER,STRI2023
IRL,0.2124570906162262,0.16215647757053375,0.0,0.0,PER,STRI2023
CRI,0.2124570906162262,0.16410213708877563,0.0,0.0,PER,STRI2023
PRT,0.2124570906162262,0.16425476968288422,0.0,0.0,PER,STRI2023
LUX,0.2124570906162262,0.16761423647403717,0.0,0.0,PER,STRI2023
